Ni_fraction,Co_fraction,Fe_fraction,Predicted_Overpotential,Uncertainty,AL_score,Cycle2_Predicted_Overpotential,Cycle2_Uncertainty,Cycle2_AL_score
0.5560403736542469,0.311198169339722,0.13276145700603129,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.2721452359073188,0.3480995899919502,0.37975517410073095,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.26762682863999326,0.31966857532913506,0.41270459603087156,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.35816742497424997,0.1043724218780447,0.5374601531477053,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.5339756459021141,0.2601920853244557,0.2058322687734302,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.0657848032737373,0.7908757308484327,0.14333946587783022,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.24451042628191016,0.38905820724436513,0.3664313664737247,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.2947610246632692,0.31798270871079326,0.38725626662593754,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.29940112700076654,0.4040123386705728,0.2965865343286606,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.47798767352429794,0.2962100726728765,0.2258022538028256,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3148628509140416,0.4581321918228805,0.22700495726307782,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4527095812788353,0.05884261568041046,0.48844780304075425,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.38643105523572996,0.5471609876605176,0.06640795710375241,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.1879412989799808,0.36884990907978127,0.443208791940238,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.06635316400878112,0.26176451049830723,0.6718823254929116,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.5859392115354147,0.15022991880338404,0.26383086966120134,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3050933238526698,0.36872468096346805,0.32618199518386204,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.5080682470348415,0.22559480928984385,0.2663369436753144,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4894379428777049,0.36097164031095363,0.1495904168113414,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.09694406492261669,0.3320845704624063,0.570971364614977,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.11609850022409131,0.6001068552578307,0.28379464451807795,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.47419309909447094,0.04965706041995409,0.47614984048557496,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3384851201249986,0.4550375220728326,0.20647735780216878,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3917488574647414,0.22868482664655376,0.3795663158887048,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3655164171195014,0.3094144101920488,0.3250691726884497,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3441186456399346,0.18934751149096377,0.46653384286910166,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.5028564408810363,0.49499165050313026,0.00215190861583348,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.06962663685972369,0.4686059280294048,0.4617674351108715,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4502856882542995,0.36024036021591593,0.18947395152978455,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.23922824671100498,0.40115883395460256,0.35961291933439243,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.29648409786540286,0.32275945317789156,0.3807564489567057,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.40126755833034505,0.3667826610714657,0.2319497805981894,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4671763847209538,0.5106059901893812,0.022217625089664877,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.7200683057838276,0.21428030574979492,0.06565138846637744,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.24756234168301025,0.3517338190777262,0.4007038392392635,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.2793072052512463,0.6853416292660551,0.03535116548269856,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.028540745934948642,0.6573057724881621,0.3141534815768891,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.15859924852171411,0.4786409754266526,0.36275977605163334,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4754362130753024,0.16026580053158532,0.3642979863931122,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.0024347707011461404,0.2566187784754019,0.7409464508234521,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.5183208411729723,0.21046036680269128,0.27121879202433646,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.35236280055565383,0.34975580012321733,0.29788139932112895,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.10551392248576878,0.45517899969483905,0.43930707781939216,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.16853388799035526,0.6371616957338704,0.19430441627577438,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4663097636409092,0.4822825654460845,0.05140767091300636,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.157879448930322,0.48126429402571225,0.36085625704396573,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.420472113640094,0.020045086952248173,0.5594827994076579,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.23561450098544917,0.3972089042630657,0.3671765947514852,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.369300537221667,0.46079150962308096,0.16990795315525195,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.17603293003457232,0.31602578666131703,0.5079412833041106,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4624804302416766,0.27407016994061206,0.2634493998177113,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.007830193579821836,0.4651198408510686,0.5270499655691094,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.0886663067417501,0.3492297064597638,0.562103986798486,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.28135632493409557,0.5590840341832782,0.15955964088262622,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.300238946319684,0.3030259995701841,0.3967350541101319,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.345148093429276,0.2755883684978061,0.3792635380729179,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3252641382431637,0.2967859395837952,0.37794992217304113,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.051378074426632225,0.00852342650828055,0.9400984990650872,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.6282692284222198,0.28760321915102005,0.08412755242676019,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.032762783513055914,0.49140879259811704,0.47582842388882707,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.5223804089067757,0.048776283077544065,0.4288433080156802,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.5658898355494312,0.14494808104115353,0.2891620834094153,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4923623966706218,0.47595073380654623,0.03168686952283196,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.5460330031037136,0.025836649458900695,0.42813034743738565,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.27222680486310963,0.46106038618827544,0.26671280894861493,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.27231523026165994,0.28834360285199023,0.4393411668863498,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.21270234739730184,0.5484391032441965,0.2388585493585016,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.16212561646200868,0.47809368171974553,0.35978070181824584,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.40598113114497336,0.19960950813907646,0.39440936071595006,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3705912183130998,0.0382019567201134,0.5912068249667869,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.5242946662088854,0.16401273141249134,0.3116926023786232,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4450397665951535,0.3111747410325398,0.24378549237230665,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.46927007022569556,0.2766511746810573,0.25407875509324707,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4022966149053414,0.27283702932103354,0.32486635577362505,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.28253583479203165,0.3456751828625492,0.37178898234541913,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.49371364055232114,0.28941849226968314,0.21686786717799572,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4319026375953088,0.3715228639337179,0.19657449847097327,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.5867259880773446,0.3989663264265226,0.014307685496132894,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.10293933906338204,0.2167348873848908,0.6803257735517271,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3739580140446958,0.14577998535764292,0.4802620005976612,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.27298765270266373,0.19731227515896466,0.5297000721383716,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.03746164314760862,0.43421882701230047,0.528319529840091,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.11742008587476707,0.27393679829039114,0.6086431158348419,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.19043100614332228,0.2768007544410099,0.5327682394156679,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.30928482136155755,0.019449926511551963,0.6712652521268905,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3052955602198215,0.5527939557341269,0.14191048404605155,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3489953163833774,0.22056302859745122,0.43044165501917137,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3782956352511596,0.33559423496465884,0.2861101297841816,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.47002006540967506,0.0906750220884701,0.43930491250185477,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.17022338631120615,0.3560382954967224,0.4737383181920716,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.5938822205840933,0.30974583673350603,0.09637194268240064,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.7771910166725805,0.1062698960218479,0.11653908730557179,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.4733342927697244,0.1367830287024965,0.3898826785277791,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3503700481185118,0.5507019734185604,0.09892797846292795,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.35319885501461595,0.6272135971789453,0.019587547806438774,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.37966661487221953,0.3205284169010352,0.29980496822674535,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.1601993753595862,0.564065517795949,0.27573510684446473,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.3997725011932755,0.09560438017851199,0.5046231186282125,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.40599493760379274,0.13139513125900731,0.4626099311372,207.7,12.35354199915235,-195.34645800084763,207.57142857142858,12.06952610445088,-195.5019024669777
0.2552607293125009,0.4317034877249357,0.3130357829625634,207.7,12.35354199915235,-195.34645800084763,205.00000000025713,0.00012069533676612026,-204.99987930492037
